representation,proxy_count,complete_solid_volume_covered,maximum_corner_measure,primitive_to_box_volume_sum_ratio,success,final_error_mm,minimum_error_mm,maximum_ee_x_m,solved_cycles,non_solved_cycles,exact_penetrating_cycles,controller_ms_p50,controller_ms_p95,controller_ms_p99,candidate_pairs_p50,candidate_pairs_p99,qp_iterations_p50,qp_iterations_p99
sphere,368,True,1.0,3.1657020304697676,False,314.16457257124233,314.16457257124233,0.31646617705508007,679,2321,0,49.13829994620755,63.35356008494273,63.80005500279366,62.0,63.0,6000.0,6000.0
ellipsoid,368,True,1.0,2.7206990463513265,True,0.0006201578173347753,0.0006201578173347753,0.6299997402981342,3000,0,0,3.904250042978674,8.252939983503893,8.487065013032403,595.0,597.0,25.0,125.0
